icao24,origin_country,velocity,on_ground
e8027e,Chile,255.38,False
e8027d,Chile,223.59,False
801638,India,102.19,False
39de4b,France,195.05,False
39de4a,France,243.78,False
39de4d,France,227.63,False
39de4c,France,88.95,False
39de57,France,0.0,True
801641,India,197.74,False
801640,India,228.11,False
801643,India,130.31,False
80162e,India,258.88,False
80162f,India,254.55,False
7c2efe,Australia,59.82,False
39de50,France,89.34,False
488280,Poland,42.71,False
aae312,United States,211.6,False
80163c,India,275.09,False
801648,India,5.4,True
00b22c,South Africa,224.3,False
80160a,India,188.63,False
801622,India,232.11,False
851914,Japan,260.31,False
80161c,India,254.82,False
801627,India,222.26,False
801626,India,251.64,False
407a05,United Kingdom,204.77,False
801631,India,144.42,False
39de45,France,1.54,True
39de48,France,219.57,False
39de47,France,6.94,True
39de49,France,0.0,True
8a02ca,Indonesia,136.35,False
801633,India,102.38,False
80161d,India,204.36,False
39de42,France,0.0,True
39de44,France,228.64,False
511187,Estonia,212.44,False
8a02d6,Indonesia,223.8,False
4acb01,Sweden,240.28,False
440298,Austria,38.73,False
4acb03,Sweden,19.03,True
4acb02,Sweden,221.32,False
801685,India,277.86,False
51116f,Estonia,202.61,False
4bc8c9,Turkey,2.83,True
e80252,Chile,248.98,False
4bc8c6,Turkey,206.43,False
4bc8c7,Turkey,211.72,False
4bc8c2,Turkey,217.04,False
4bc8d0,Turkey,225.41,False
a61836,United States,255.42,False
511172,Estonia,210.17,False
511170,Estonia,211.22,False
e80268,Chile,226.66,False
801699,India,221.44,False
4bc8d6,Turkey,219.13,False
4bc8d3,Turkey,214.86,False
80164b,India,200.39,False
e8025f,Chile,216.29,False
80164e,India,0.0,True
80164f,India,243.99,False
a39bfa,United States,227.71,False
47b217,Norway,239.04,False
471efe,Hungary,175.48,False
801663,India,2.06,True
800333,India,106.07,False
801662,India,225.85,False
ac3688,United States,238.62,False
51118a,Estonia,221.09,False
3d23c1,Germany,48.12,False
44029f,Austria,68.4,False
80165c,India,233.11,False
511195,Estonia,217.98,False
80165a,India,216.72,False
a5f825,United States,101.5,False
511194,Estonia,207.34,False
3ac3ff,France,0.0,True
4acb41,Sweden,237.93,False
4acb45,Sweden,237.89,False
86cfa0,Japan,111.08,False
3455d7,Spain,139.28,False
8a0418,Indonesia,227.66,False
440248,Austria,224.04,False
4acb59,Sweden,138.6,False
44023f,Austria,207.55,False
3c5ee6,Germany,172.82,False
3c5ee5,Germany,173.55,False
3c5ee9,Germany,6.94,True
4bc8cf,Turkey,196.9,False
4bc8ce,Turkey,218.44,False
4acb23,Sweden,154.67,False
80168a,India,163.75,False
4bc8cc,Turkey,216.67,False
3c5ee4,Germany,239.12,False
ad41ed,United States,6.69,False
3c5ef8,Germany,207.62,False
80169d,India,237.26,False
3c5ef6,Germany,193.97,False
46b82a,Greece,205.08,False
46b82b,Greece,220.25,False
3c5eed,Germany,126.42,False
4bc8da,Turkey,195.51,False
46b82f,Greece,206.9,False
3c5eeb,Germany,138.9,False
3c5eea,Germany,109.83,False
440271,Austria,32.0,False
3c5ef0,Germany,136.83,False
3c5ef2,Germany,210.29,False
46b831,Greece,209.38,False
46b832,Greece,203.67,False
46b830,Greece,232.63,False
851936,Japan,247.12,False
44020a,Austria,213.04,False
46b837,Greece,258.83,False
440209,Austria,221.1,False
a4c592,United States,235.57,False
a6189c,United States,247.76,False
a8584a,United States,273.78,False
a5f87d,United States,2.57,True
8851e2,Thailand,149.23,False
46b821,Greece,210.6,False
46b822,Greece,210.03,False
46b828,Greece,0.0,True
46b826,Greece,194.88,False
440237,Austria,226.21,False
867fac,Japan,165.89,False
ab6fbf,United States,235.14,False
4acb5a,Sweden,239.64,False
44022d,Austria,237.56,False
44022b,Austria,213.32,False
39599b,France,73.4,False
7cf9df,Australia,155.53,False
87455c,Japan,231.87,False
8014b2,India,5.66,True
ac34a0,United States,95.06,False
8014b0,India,235.08,False
7cf9e4,Australia,74.55,False
a4d7eb,United States,117.86,False
7cf9e5,Australia,78.29,False
8014ad,India,178.15,False
8a0494,Indonesia,237.77,False
a88d1c,United States,280.49,False
4aca84,Sweden,233.76,False
7cf9d9,Australia,16.98,True
4aca89,Sweden,220.19,False
4aca7a,Sweden,234.7,False
ab14d9,United States,254.27,False
4aca90,Sweden,237.17,False
4aca94,Sweden,0.0,True
4aca99,Sweden,70.96,False
7cf9c4,Australia,7.72,True
34448d,Spain,143.35,False
4aca8b,Sweden,10.29,True
4aca8c,Sweden,241.06,False
4aca8f,Sweden,175.19,False
4aca8e,Sweden,102.99,False
7cf9ad,Australia,64.21,False
3d386c,Germany,49.56,False
5110fa,Estonia,106.64,False
c81d9d,New Zealand,217.61,False
8014dc,India,238.34,False
8014da,India,232.21,False
8014db,India,169.08,False
8014de,India,114.86,False
4520cf,Bulgaria,226.28,False
