icao24,origin_country,velocity,on_ground
471f36,Hungary,216.73,False
471f37,Hungary,260.6,False
471f38,Hungary,196.24,False
471f31,Hungary,12.35,True
471f32,Hungary,243.44,False
7cf9a5,Australia,46.2,False
801612,India,147.85,False
471f06,Hungary,193.93,False
471f05,Hungary,224.71,False
3ffbd1,Germany,36.58,False
4b405b,Switzerland,0.0,True
e07542,Argentina,246.43,False
4cc331,Iceland,148.35,False
7809fc,China,138.53,False
7c7194,Australia,4.12,True
885282,Thailand,191.19,False
ab5d29,United States,71.09,False
407b4b,United Kingdom,75.83,False
407b57,United Kingdom,89.9,False
ac2412,United States,267.47,False
801767,India,213.55,False
407b55,United Kingdom,162.41,False
407b52,United Kingdom,77.34,False
801772,India,240.13,False
c035cc,Canada,256.91,False
a6f312,United States,217.44,False
4402a3,Austria,4.89,True
3d22ef,Germany,38.52,False
801750,India,117.55,False
8852e2,Thailand,155.75,False
80173e,India,162.26,False
a9a1e0,United States,223.59,False
3c4b31,Germany,166.44,False
3c4b28,Germany,254.41,False
3c4b2e,Germany,225.98,False
3430cd,Spain,96.17,False
3c4b35,Germany,266.42,False
a89fa3,United States,208.4,False
ab048d,United States,260.61,False
0d10fd,Mexico,233.62,False
0d10fe,Mexico,251.15,False
801788,India,8.75,True
778823,Syrian Arab Republic,238.25,False
4cc279,Iceland,233.58,False
80177c,India,153.73,False
801795,India,58.44,False
801799,India,279.57,False
3443cc,Spain,16.46,False
3c4b4e,Germany,191.06,False
801792,India,194.41,False
3c4b4c,Germany,111.1,False
44036a,Austria,120.7,False
440374,Austria,57.21,False
3443d1,Spain,256.42,False
a235a5,United States,126.46,False
c01040,Canada,3.86,True
398eab,France,60.78,False
3d3715,Germany,50.43,False
4aca06,Sweden,181.1,False
4aca05,Sweden,221.82,False
4aca13,Sweden,221.91,False
4aca12,Sweden,21.09,True
4aca15,Sweden,67.13,False
4aca0d,Sweden,215.43,False
46a60f,Greece,151.49,False
4aca69,Sweden,5.4,True
4aca73,Sweden,187.15,False
8016b1,India,241.22,False
4aca74,Sweden,75.12,False
a222bf,United States,114.25,False
4aca79,Sweden,198.08,False
407b02,United Kingdom,61.12,False
4aca6b,Sweden,177.91,False
8016b7,India,86.41,False
4aca6d,Sweden,198.18,False
76b869,Singapore,237.62,False
4aca6c,Sweden,71.3,False
8016b9,India,162.2,False
7c2faf,Australia,73.44,False
471fa9,Hungary,235.75,False
4aca45,Sweden,236.82,False
471fa4,Hungary,191.54,False
471fa1,Hungary,153.53,False
471fa2,Hungary,130.19,False
471fa5,Hungary,77.55,False
44034b,Austria,5.4,True
4bb4e3,Turkey,195.39,False
471fac,Hungary,187.23,False
471faa,Hungary,234.01,False
471fae,Hungary,223.01,False
c07cf6,Canada,252.71,False
4aca53,Sweden,236.26,False
a0f5e7,United States,213.58,False
4aca4a,Sweden,87.55,False
46b927,Greece,203.19,False
8015c1,India,254.41,False
8015c0,India,204.49,False
ad68ba,United States,0.0,True
8015bc,India,161.46,False
39212e,France,55.26,False
38145a,France,0.0,True
84c068,Japan,93.87,False
8a0375,Indonesia,121.42,False
8015cd,India,234.63,False
0180b6,Libyan Arab Jamahiriya,249.75,False
0180b4,Libyan Arab Jamahiriya,258.25,False
885337,Thailand,84.88,False
440310,Austria,195.55,False
46da6c,Greece,202.25,False
8a0363,Indonesia,123.49,False
8015a8,India,206.02,False
a9a397,United States,259.91,False
8a034e,Indonesia,125.05,False
8015b4,India,127.7,False
873378,Japan,0.06,True
885310,Thailand,209.84,False
7c71f7,Australia,29.32,True
885306,Thailand,151.72,False
885302,Thailand,2.31,True
885301,Thailand,99.45,False
e49dde,Brazil,213.79,False
34324f,Spain,231.02,False
a64e2a,United States,231.61,False
8015db,India,106.53,False
39214f,France,55.08,False
0180a1,Libyan Arab Jamahiriya,258.21,False
8015f7,India,223.3,False
abae8f,United States,214.07,False
88530c,Thailand,89.57,False
8015ee,India,193.77,True
a52e5b,United States,252.73,False
4bc856,Turkey,200.65,False
4bc84d,Turkey,217.36,False
4bc84b,Turkey,211.46,False
739349,Israel,92.63,False
4401d8,Austria,26.93,False
0d1139,Mexico,255.48,False
70203e,Bangladesh,4.63,False
702066,Bangladesh,208.17,False
aa92fb,United States,233.48,False
0d112e,Mexico,261.51,False
70204b,Bangladesh,247.9,False
728683,Iraq,231.26,False
4bc847,Turkey,220.18,False
4bc848,Turkey,219.72,False
4bc843,Turkey,213.34,False
4bc841,Turkey,220.59,False
72866b,Iraq,193.16,False
4bc850,Turkey,212.57,False
841b6a,Japan,89.31,False
aa92f9,United States,262.7,False
4401f7,Austria,244.18,False
c06a80,Canada,236.15,False
4bc88d,Turkey,219.72,False
a3db93,United States,255.52,False
87339a,Japan,78.21,False
4bb567,Turkey,150.97,False
