icao24,origin_country,velocity,on_ground
e8027d,Chile,221.5,False
aa9321,United States,184.91,False
39de57,France,203.8,False
a5953a,United States,54.13,False
a34248,United States,93.11,False
aae302,United States,175.43,False
a5f849,United States,219.5,False
ac4963,United States,207.89,False
a9a0fb,United States,35.51,False
a3b88e,United States,201.86,False
aae316,United States,198.24,False
c81bcc,New Zealand,54.04,False
acdfa3,United States,237.98,False
a3a578,United States,1.29,True
a5954e,United States,192.3,False
a41ee4,United States,62.64,False
c034b6,Canada,136.33,False
ad562a,United States,182.99,False
851914,Japan,263.67,False
a15bf8,United States,2.31,True
a09273,United States,62.78,False
ac231d,United States,88.34,False
a0e250,United States,226.08,False
407a05,United Kingdom,222.09,False
a48850,United States,190.59,False
ad694c,United States,203.71,False
a2355d,United States,207.64,False
a2228b,United States,233.25,False
e8023a,Chile,150.16,False
a47597,United States,198.25,False
51116f,Estonia,13.38,True
4bc8c7,Turkey,244.88,False
511173,Estonia,118.67,False
511174,Estonia,127.74,False
abf008,United States,1.54,True
ae8955,United States,2.18,False
aaf67d,United States,173.21,False
8a02ae,Indonesia,138.01,False
a4d838,United States,264.0,False
4bc8d4,Turkey,214.5,False
a2226b,United States,63.57,False
ac101f,United States,203.44,False
a35592,United States,82.04,False
47b217,Norway,274.85,False
a3a538,United States,2.06,True
801659,India,241.91,False
471eff,Hungary,221.71,False
471efc,Hungary,196.53,False
e80276,Chile,193.92,False
ac3688,United States,4.37,True
e80274,Chile,200.17,False
a72506,United States,35.96,False
ae631b,United States,113.47,False
a4d849,United States,34.95,False
ab0382,United States,88.28,False
adecb6,United States,215.13,False
a9a0b6,United States,61.34,False
a3556f,United States,214.25,False
abf025,United States,251.45,False
a3b86c,United States,241.91,False
a950ce,United States,291.04,False
a53ee2,United States,233.87,False
ae630a,United States,13.38,True
abad94,United States,212.78,False
a4b294,United States,126.12,False
a7bbe9,United States,248.45,False
e80212,Chile,225.42,False
adda24,United States,261.67,False
a247b8,United States,0.06,True
adda23,United States,72.06,False
e80218,Chile,204.53,False
0d11d1,Mexico,157.3,False
86cfa0,Japan,180.85,False
a76bec,United States,52.06,False
a71264,United States,67.31,False
a5829d,United States,230.42,False
adb7f4,United States,38.24,False
a89efc,United States,51.44,False
a0f4a2,United States,82.0,False
44023f,Austria,69.11,False
a6f23d,United States,207.91,False
a27d12,United States,35.22,False
0d11e4,Mexico,0.0,True
a9653c,United States,32.9,False
a9520b,United States,51.76,False
a9653d,United States,251.02,False
4bc8cd,Turkey,157.02,False
adda51,United States,56.65,False
a71291,United States,201.05,False
e8021d,Chile,229.55,False
e8021f,Chile,174.16,False
c81d02,New Zealand,32.88,False
ad41cd,United States,269.71,False
ad41ed,United States,75.86,False
a9521f,United States,46.04,False
a5d28e,United States,201.74,False
a5d28c,United States,215.91,False
e48bf8,Brazil,122.28,False
e80247,Chile,209.47,False
a8dbbd,United States,182.43,False
478854,Norway,247.67,False
ae61f6,United States,147.54,False
c07bc7,Canada,165.71,False
a4c56c,United States,50.42,False
a5823e,United States,268.15,False
a72563,United States,69.03,False
46b830,Greece,231.57,False
851936,Japan,211.0,False
a091d5,United States,209.19,False
46b837,Greece,133.4,False
a6188e,United States,48.37,False
a6f207,United States,3.6,True
440201,Austria,146.0,False
a101c3,United States,0.0,True
a114f4,United States,238.52,False
a5958c,United States,115.26,False
a6189c,United States,0.0,True
a8584a,United States,217.05,False
a95212,United States,125.3,False
a1ad44,United States,248.98,False
8851e1,Thailand,266.48,False
46b823,Greece,247.08,False
46b828,Greece,86.95,False
c81d3c,New Zealand,21.21,False
4cc2a7,Iceland,0.0,True
a1ad1f,United States,28.57,False
ab6fbf,United States,262.84,False
a247f0,United States,220.63,False
0d11b0,Mexico,3.86,True
0d11b4,Mexico,210.09,False
a8a82f,United States,238.81,False
440224,Austria,133.95,False
a8453e,United States,222.68,False
a247e7,United States,52.0,False
e80209,Chile,226.01,False
a2ba48,United States,87.97,False
aa07f9,United States,272.99,False
a2cd6c,United States,52.48,False
a3ed69,United States,201.08,False
ab14b4,United States,48.92,False
a88d00,United States,219.84,False
c03517,Canada,230.63,False
885226,Thailand,279.79,False
e49ec9,Brazil,210.88,False
87455c,Japan,253.58,False
