origin_country,total_flights,avg_velocity,on_ground
Afghanistan,1,202.74,0
Algeria,10,196.472,0
Angola,1,132.76,0
Argentina,6,142.33166666666668,1
Australia,305,120.67718032786885,66
Austria,138,137.99398550724635,19
Azerbaijan,5,227.21999999999997,0
Bahrain,1,242.46,0
Bangladesh,16,101.796875,2
Belarus,3,202.46666666666667,0
Belgium,46,119.4345652173913,15
Bhutan,4,167.69,0
Bosnia and Herzegovina,1,126.94,0
Brazil,41,182.1748780487805,2
Brunei Darussalam,1,231.92,0
Bulgaria,10,228.224,0
Cambodia,1,191.65,0
Canada,98,168.58551020408163,21
Chile,18,228.34111111111113,0
China,193,188.01518134715025,10
Colombia,2,150.245,0
Croatia,12,170.43666666666667,0
Cyprus,4,162.77249999999998,0
Czech Republic,27,102.74814814814815,3
Denmark,38,153.74578947368423,2
Dominican Republic,1,224.86,0
Ecuador,1,241.0,0
Egypt,23,212.40826086956523,1
Estonia,10,160.261,2
Ethiopia,5,230.57200000000003,0
Finland,39,157.77051282051283,2
France,261,131.0563601532567,37
Georgia,5,115.84,2
Germany,278,138.43219424460432,34
Greece,55,140.76981818181818,3
Hungary,56,188.17125000000001,5
Iceland,9,167.48222222222225,2
India,176,159.65852272727273,24
Indonesia,32,159.6315625,0
Iraq,2,208.035,0
Ireland,324,183.3241049382716,15
Israel,35,174.6702857142857,4
Italy,45,93.68044444444445,0
Japan,168,157.86589285714285,21
Jordan,14,182.2435714285714,0
Kazakhstan,1,215.56,0
Kenya,4,116.1725,0
Kingdom of the Netherlands,129,151.93488372093023,22
Latvia,37,143.02783783783784,3
Lebanon,4,175.785,0
Libyan Arab Jamahiriya,4,254.97000000000003,0
Lithuania,11,118.63363636363637,4
Luxembourg,30,155.9163333333333,5
Malaysia,56,179.93571428571428,1
Malta,165,183.5230303030303,15
Mauritania,1,91.6,0
Mexico,37,198.90054054054053,5
Monaco,2,144.155,0
Morocco,27,215.00185185185185,0
Myanmar,3,174.43999999999997,0
New Zealand,33,126.51060606060607,6
Norway,49,130.6273469387755,6
Oman,3,272.82,0
Panama,14,223.98499999999999,0
Philippines,33,144.10939393939393,6
Poland,97,167.83886597938144,10
Portugal,80,173.57325,6
Qatar,41,211.41268292682926,3
Republic of Korea,101,175.48049504950495,9
Republic of Moldova,4,161.5625,0
Romania,26,141.3569230769231,3
Russian Federation,46,207.6808695652174,0
Rwanda,1,67.91,0
San Marino,9,194.42555555555558,1
Saudi Arabia,17,234.25411764705882,0
Serbia,15,175.19,1
Singapore,36,181.8125,3
Slovenia,4,174.53249999999997,0
South Africa,32,143.675,1
Spain,221,155.28619909502262,15
Sri Lanka,2,239.84,0
Sweden,76,140.3413157894737,10
Switzerland,127,117.29897637795276,31
Syrian Arab Republic,1,238.19,0
Taiwan,61,191.19131147540983,4
Tajikistan,1,27.27,0
Thailand,77,167.1855844155844,3
Trinidad and Tobago,2,223.39499999999998,0
Tunisia,17,181.10999999999999,1
Turkey,231,199.43441558441558,10
Ukraine,1,220.06,0
United Arab Emirates,79,201.05037974683543,1
United Kingdom,477,160.9733752620545,42
United States,825,191.0391393939394,75
Uzbekistan,5,262.886,0
Viet Nam,19,205.18947368421053,1
