origin_country,total_flights,avg_velocity,on_ground
Algeria,6,231.64333333333332,0
Argentina,17,149.8270588235294,4
Australia,353,102.00500000000001,93
Austria,37,155.8443243243243,5
Azerbaijan,3,139.76666666666668,1
Bahrain,6,214.69500000000002,1
Bangladesh,1,214.99,0
Belgium,4,97.9425,1
Brazil,108,178.84555555555556,5
Brunei Darussalam,1,232.92,0
Bulgaria,4,215.72000000000003,0
Canada,436,143.03479357798165,72
Chile,42,210.3257142857143,0
China,109,192.5894495412844,11
Colombia,13,126.35307692307691,2
Czech Republic,5,106.19800000000001,1
Denmark,10,188.793,1
Dominican Republic,5,176.06599999999997,1
Egypt,14,201.415,0
Estonia,3,86.59666666666665,1
Ethiopia,19,242.67473684210526,0
Finland,9,168.53,1
France,64,168.2096875,14
Georgia,6,129.79333333333332,2
Germany,52,164.32673076923078,11
Greece,10,131.068,3
Guatemala,4,69.19,0
Hungary,28,207.91107142857143,1
Iceland,17,180.42235294117646,2
India,40,196.37175,6
Indonesia,19,200.37315789473686,0
Ireland,160,182.116625,15
Islamic Republic of Iran,1,75.47,0
Israel,16,253.90875,0
Italy,5,159.608,0
Japan,114,186.7655263157895,14
Jordan,1,239.51,0
Kazakhstan,2,215.85,0
Kenya,1,178.09,0
Kingdom of the Netherlands,30,180.94266666666667,3
Kuwait,1,240.42,0
Latvia,5,140.546,1
Libyan Arab Jamahiriya,1,204.01,0
Lithuania,3,227.04666666666665,0
Luxembourg,9,248.41444444444446,0
Malaysia,33,173.69787878787878,3
Malta,65,188.41907692307691,3
Mexico,106,168.57179245283018,7
Morocco,12,226.02666666666667,0
Myanmar,1,233.29,0
Nepal,1,73.24,0
New Zealand,85,85.70529411764706,5
Norway,8,255.84125,0
Oman,6,239.86666666666665,0
Pakistan,2,246.98000000000002,0
Panama,22,204.78181818181818,2
Philippines,39,150.6946153846154,3
Poland,36,177.76333333333332,2
Portugal,22,190.00090909090912,1
Qatar,20,150.259,2
Republic of Korea,60,177.98266666666666,7
Romania,3,168.80999999999997,0
Russian Federation,16,200.0075,0
Rwanda,1,244.19,0
San Marino,2,244.7,0
Saudi Arabia,7,240.51142857142855,0
Serbia,5,192.132,0
Singapore,20,199.196,0
South Africa,3,107.52,0
Spain,68,158.7605882352941,11
Sri Lanka,6,210.87333333333333,0
Suriname,1,233.1,0
Sweden,15,150.45733333333334,2
Switzerland,22,146.9047619047619,7
Taiwan,28,217.66321428571428,1
Thailand,24,177.68458333333334,0
Trinidad and Tobago,3,213.77,0
Tunisia,3,203.34333333333333,0
Turkey,86,207.1424418604651,2
Ukraine,5,113.654,2
United Arab Emirates,56,217.27642857142857,1
United Kingdom,198,181.04065656565658,18
United Republic of Tanzania,1,238.07,0
United States,6071,141.16857637172515,504
Uzbekistan,6,225.79333333333332,0
Venezuela,3,191.98333333333335,0
Viet Nam,12,182.54666666666665,2
Zimbabwe,1,265.39,0
